nbytes,chunksize,method,mode,runtime,version,Throughput (Gbps),chunk size (MB)
3200000000,200000000,zarr-s3fs,write,8.283232151999982,,3.090581011159864,200.0
3200000000,200000000,zarr-s3fs,read,4.792811971999981,,5.341332009174864,200.0
3200000000,50000000,zarr-s3fs,write,5.0714696680006455,,5.04784641847073,50.0
3200000000,50000000,zarr-s3fs,read,4.0385113669999555,,6.338969405703862,50.0
3200000000,12500000,zarr-s3fs,write,8.829056892000153,,2.89951693744274,12.5
3200000000,12500000,zarr-s3fs,read,4.38388733299962,,5.839566132846648,12.5
3200000000,3125000,zarr-s3fs,write,11.060518735999722,,2.314538821463884,3.125
3200000000,3125000,zarr-s3fs,read,9.193341539999892,,2.7846240552051,3.125
3200000000,781250,zarr-s3fs,write,38.27071003199944,,0.6689188671596363,0.78125
3200000000,781250,zarr-s3fs,read,33.78862798299997,,0.7576513616616838,0.78125
3200000000,200000000,zarr-s3fs,write,5.559752060000392,,4.604521878624602,200.0
3200000000,200000000,zarr-s3fs,read,4.710841733000052,,5.434272992163737,200.0
3200000000,50000000,zarr-s3fs,write,6.003020551000191,,4.264519800075425,50.0
3200000000,50000000,zarr-s3fs,read,4.077715882999655,,6.278024446658626,50.0
3200000000,12500000,zarr-s3fs,write,7.646997030999955,,3.347719359144622,12.5
3200000000,12500000,zarr-s3fs,read,4.155229374000555,,6.160911395212085,12.5
3200000000,3125000,zarr-s3fs,write,11.053285496999706,,2.3160534491711844,3.125
3200000000,3125000,zarr-s3fs,read,9.046293858000354,,2.8298881731948042,3.125
3200000000,781250,zarr-s3fs,write,38.34295031200054,,0.6676585863030925,0.78125
3200000000,781250,zarr-s3fs,read,33.63587537999956,,0.7610921288887333,0.78125
3200000000,200000000,zarr-s3fs,write,5.4967243990004135,,4.657319185341618,200.0
3200000000,200000000,zarr-s3fs,read,4.798937991000457,,5.334513604470027,200.0
3200000000,50000000,zarr-s3fs,write,5.147684337999635,,4.973109910998939,50.0
3200000000,50000000,zarr-s3fs,read,4.03858294300062,,6.338857059842752,50.0
3200000000,12500000,zarr-s3fs,write,7.8250849639998705,,3.2715299728725635,12.5
3200000000,12500000,zarr-s3fs,read,4.5224165199997515,,5.660690448742967,12.5
3200000000,3125000,zarr-s3fs,write,10.816881151000416,,2.366671098871447,3.125
3200000000,3125000,zarr-s3fs,read,9.092986433000078,,2.815356669519819,3.125
3200000000,781250,zarr-s3fs,write,37.55285934699987,,0.681705746117711,0.78125
3200000000,781250,zarr-s3fs,read,32.69521067700043,,0.782989296288842,0.78125
3200000000,200000000,zarr-s3fs,write,5.334963790000074,,4.798533037465966,200.0
3200000000,200000000,zarr-s3fs,read,4.97025458600001,,5.150641593311724,200.0
3200000000,50000000,zarr-s3fs,write,4.8693655480001325,,5.257358427426756,50.0
3200000000,50000000,zarr-s3fs,read,4.072947175000081,,6.2853749140509025,50.0
3200000000,12500000,zarr-s3fs,write,6.023591846999807,,4.249955948252152,12.5
3200000000,12500000,zarr-s3fs,read,4.29603728299935,,5.958979942121669,12.5
3200000000,3125000,zarr-s3fs,write,10.979576480000105,,2.3316017741332544,3.125
3200000000,3125000,zarr-s3fs,read,9.098994328000117,,2.813497742406733,3.125
3200000000,781250,zarr-s3fs,write,38.38629484900048,,0.6669046882670571,0.78125
3200000000,781250,zarr-s3fs,read,35.31549479900059,,0.724894275039988,0.78125
3200000000,200000000,zarr-s3fs,write,8.31045080000058,,3.080458643711387,200.0
3200000000,200000000,zarr-s3fs,read,4.744581795999693,,5.395628340011794,200.0
3200000000,50000000,zarr-s3fs,write,4.741162171000724,,5.399520007263655,50.0
3200000000,50000000,zarr-s3fs,read,4.080942116999722,,6.27306128488314,50.0
3200000000,12500000,zarr-s3fs,write,6.039373429999614,,4.23885032060381,12.5
3200000000,12500000,zarr-s3fs,read,4.460077764999369,,5.739810234004658,12.5
3200000000,3125000,zarr-s3fs,write,11.483668355999725,,2.2292528142041905,3.125
3200000000,3125000,zarr-s3fs,read,9.56582692200027,,2.6761930995346606,3.125
3200000000,781250,zarr-s3fs,write,40.6959824709993,,0.629054723478983,0.78125
3200000000,781250,zarr-s3fs,read,37.03458603099989,,0.6912457446823209,0.78125
3200000000,200000000,zarr-obstore,write,2.6678450930003237,,9.595759539100381,200.0
3200000000,200000000,zarr-obstore,read,2.668131813999935,,9.594728365995424,200.0
3200000000,50000000,zarr-obstore,write,2.6365244369999346,,9.70975259729809,50.0
3200000000,50000000,zarr-obstore,read,1.9764702590000525,,12.952383109954663,50.0
3200000000,12500000,zarr-obstore,write,2.560116642000139,,9.999544387946136,12.5
3200000000,12500000,zarr-obstore,read,1.827074279000044,,14.01147194410227,12.5
3200000000,3125000,zarr-obstore,write,2.013882926000406,,12.711761775964746,3.125
3200000000,3125000,zarr-obstore,read,1.9264462940000158,,13.288717198985559,3.125
3200000000,781250,zarr-obstore,write,3.7779373740004303,,6.776184321153091,0.78125
3200000000,781250,zarr-obstore,read,1.9303784860003361,,13.261648006159733,0.78125
3200000000,200000000,zarr-obstore,write,2.671491409999362,,9.5826622927476,200.0
3200000000,200000000,zarr-obstore,read,2.668389438000304,,9.59380202733252,200.0
3200000000,50000000,zarr-obstore,write,2.6600742600003286,,9.623791480165986,50.0
3200000000,50000000,zarr-obstore,read,2.101221261000319,,12.183390904684032,50.0
3200000000,12500000,zarr-obstore,write,2.49078783799996,,10.277872570855394,12.5
3200000000,12500000,zarr-obstore,read,2.1202430229996025,,12.074087603308104,12.5
3200000000,3125000,zarr-obstore,write,2.206960550999611,,11.59966361356339,3.125
